date,description,amount,category,account
2016-06-21 00,"AUSZAHLUNGCASHBACK ",8.34,"unknown","default"
2016-06-23 00,"HVB;AMCAMPEON112 NEUBIBERGDE ",-100.00,"cash","default"
2016-06-23 01,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-06-27 00,"SPORTSCHECK MUENCHENDE ",-13.90,"sport","default"
2016-06-27 01,". *DEUTSCHEBANKAG M-MARIENPL>DE ",-100.00,"cash","default"
2016-06-27 02,"LidlVertriebsGmbH&Co.MuenchenDE ",-32.94,"groceries","default"
2016-06-27 03,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-06-28 00,"Foodora SenningerbergLU ",-30.00,"resto","default"
2016-06-29 00,"HVB;AMCAMPEON112 NEUBIBERG DE ",-100.00,"cash","default"
2016-06-29 01,"ZAHLUNGPERBANKEINZUG ",834.67,"unknown","default"
2016-06-29 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-06-30 00,"NETFLIX.COM 866-579-7172NL ",-8.99,"entertainment","default"
2016-07-04 00,"Foodora SenningerbergLU ",-37.79,"resto","default"
2016-07-04 01,"STADTSPARKASSEMUENCHENFL005 DE ",-100.00,"cash","default"
2016-07-04 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-07-08 00,"RaststaetteIrschenbergIrschenbergDE ",-8.80,"unknown","default"
2016-07-08 01,"UNICREDIT-ISEO ISEO IT ",-100.00,"unknown","default"
2016-07-08 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-07-08 03,"Skype Luxembourg LU ",-10.00,"unknown","default"
2016-07-11 00,"AUTOSTPESCHIERA/BRESCIAOVEST IT ",-3.00,"unknown","default"
2016-07-11 01,"A22BRENNEROUSCITAAFFIAFFI IT ",-15.30,"unknown","default"
2016-07-11 02,"MAUTSTELLESCHOENBERG SCHOENBERG AT ",-9.00,"unknown","default"
2016-07-11 03,"RISTORANTEPIZZERIAL424ISEO IT ",-78.10,"unknown","default"
2016-07-11 04,"SIGMASUPERSTORE 832ISEO IT ",-70.27,"unknown","default"
2016-07-11 05,"BAOBABRISTORANTE PISOGNEIT ",-44.50,"unknown","default"
2016-07-12 00,"RISTORANTELAGUNAISEO IT ",-65.00,"unknown","default"
2016-07-12 01,"GEOX 095RODENGOSAIANIT ",-112.70,"unknown","default"
2016-07-12 02,"CDC1965RODENGOSAIA717RODENGOSAIANIT ",-38.99,"unknown","default"
2016-07-12 03,"MAUTSTELLESCHOENBERGSCHOENBERGAT ",-9.00,"unknown","default"
2016-07-13 00,"A22BRENNEROBARRIERABRVIPITENO IT ",-15.30,"unknown","default"
2016-07-13 01,"AUTOSTBRESCIACENTRO/PESCHIERA IT ",-2.80,"unknown","default"
2016-07-14 00,"IHRHIT-MARKT MUENCHENDE ",-11.01,"groceries","default"
2016-07-15 00,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-07-18 00,"dedicom MunchenDE ",-74.65,"unknown","default"
2016-07-20 00,"BAVARIATANKSTELLE OTTOBRUNN DE ",-49.48,"unknown","default"
2016-07-21 00,"HPDEUTSCHLANDGMBH BOEBLINGENDE ",-1619.09,"unknown","default"
2016-07-21 01,"AUSZAHLUNGCASHBACK ",7.42,"unknown","default"
2016-07-22 00,"HVB;AMCAMPEON112 NEUBIBERGDE ",-100.00,"cash","default"
2016-07-22 01,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-07-25 00,"MUNICH-BOWLINGGMBHMUENCHEN DE ",-32.40,"unknown","default"
2016-07-26 00,"IHRHIT-MARKT MUENCHEN DE ",-15.62,"groceries","default"
2016-07-26 01,"Foodora SenningerbergLU ",-35.79,"resto","default"
2016-07-28 00,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2016-07-28 01,"Pfauen-Apotheke UnterhachingDE ",-19.58,"health","default"
2016-07-28 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-07-28 03,"AUSLANDSEINSATZENTG.F.USD14.95 ",-0.26,"resto","default"
2016-07-28 04,"JUSTFLY.COM 800-717-5015US 14;95USD 0;9290970 ",-13.89,"unknown","default"
2016-07-29 00,"Foodora SenningerbergLU ",-39.10,"resto","default"
2016-07-29 01,"ZAHLUNGPERBANKEINZUG ",733.18,"unknown","default"
2016-07-29 02,"AUSLANDSEINSATZENTG.F.USD1626.97 ",-28.01,"resto","default"
2016-07-29 03,"1.626;97USD ",0.9307424-1514.29,"unknown","default"
2016-08-01 00,"FIELMANN0273 MUENCHEN DE ",-85.00,"health","default"
2016-08-01 01,"SaturnElectro MuenchenDE ",29.99,"electronic","default"
2016-08-01 02,"NETFLIX.COM 866-579-7172NL ",-8.99,"entertainment","default"
2016-08-01 03,"ZAHLUNGERHALTEN; VIELEN DANK ",1500.00,"unknown","default"
2016-08-05 00,"ZENTRALERKARTENVERKAUFDMUENCHEN DE ",-81.00,"resto","default"
2016-08-08 00,"  INNTALERTRACHTENWELT MUENCHEN-PASIDE ",-480.85,"unknown","default"
2016-08-09 00,"DOCTORDUVEMEDICALSKMUENCHENDE ",-380.00,"health","default"
2016-08-15 00,"AUSLANDSEINSATZENTG.F.DKK27.00 ",-0.07,"resto","default"
2016-08-15 01,"7ELEVENB069 KASTRUP DK 27;00DKK 0;1370370 ",-3.70,"unknown","default"
2016-08-22 00,"VISTAPR*VistaPrint.eu781-6526300NL ",-20.98,"unknown","default"
2016-08-22 01,"AUSZAHLUNGCASHBACK ",42.99,"unknown","default"
2016-08-23 00,"IHRHIT-MARKT MUENCHENDE ",-33.44,"groceries","default"
2016-08-24 00,"MediaMarktTV-HiFi-ElektMuenchen DE ",-89.99,"electronic","default"
2016-08-24 01,"BARGELDAUSZAHLUNG/UMBUC ",-100.00,"unknown","default"
2016-08-24 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-08-25 00,"LUFTHANSAAG2202372422649KOELN DE ",-504.59,"transport","default"
2016-08-29 00,"AUSLANDSEINSATZENTG.F.USD7.00 ",-0.12,"resto","default"
2016-08-29 01,"GITHUB.COM4I2Y0 4154486673 US 7;00USD 0;9042857 ",-6.33,"software","default"
2016-08-29 02,"LidlVertriebsGmbH&Co.Muenchen DE ",-25.29,"groceries","default"
2016-08-29 03,"Skype Luxembourg LU ",-10.00,"unknown","default"
2016-08-30 00,"NETFLIX.COM 866-579-7172NL ",-8.99,"entertainment","default"
2016-08-31 00,"WP-NEXTBIKEGMBH LEIPZIG DE ",-9.00,"unknown","default"
2016-08-31 01,"ZAHLUNGPERBANKEINZUG ",2820.23,"unknown","default"
2016-09-01 00,"POSTBANKTEGERNSEERPL MUENCHEN> DE ",-100.00,"unknown","default"
2016-09-01 01,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-09-01 02,"COMMERZBANKATM MUENCHENDE ",-50.00,"cash","default"
2016-09-01 03,"COMMERZBANKATM MUENCHENDE ",-50.00,"cash","default"
2016-09-01 04,"UMBUCHUNGBARGELDABHEBUNG ",50.00,"cash","default"
2016-09-01 05,"UMBUCHUNGBARGELDABHEBUNG ",50.00,"cash","default"
2016-09-05 00,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2016-09-05 01,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-09-08 00,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2016-09-08 01,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-09-12 00,"AUSLANDSEINSATZENTG.F.ILS2141.10 ",-9.58,"resto","default"
2016-09-12 01,"AUSLANDSEINSATZENTG.F.ILS500.00 ",-2.24,"resto","default"
